Country Code,Country Name,Region,Domain,Year,Actual,Predicted,Optimistic,Pessimistic,Error,Within_Band
ALB,Albania,Europe,Climate & Energy,2021,0.6594,0.667,0.6705,0.6636,0.0076,0
ALB,Albania,Europe,Climate & Energy,2022,0.7139,0.6724,0.676,0.6687,-0.0415,0
ALB,Albania,Europe,Climate & Energy,2023,0.7147,0.6777,0.6816,0.6738,-0.037,0
ALB,Albania,Europe,Digital Infrastructure,2021,0.6023,0.5535,0.5747,0.5324,-0.0487,0
ALB,Albania,Europe,Digital Infrastructure,2022,0.6294,0.5823,0.6049,0.5597,-0.0471,0
ALB,Albania,Europe,Digital Infrastructure,2023,0.6504,0.6111,0.6352,0.587,-0.0393,0
ALB,Albania,Europe,Economic Fragility,2021,0.6658,0.7355,0.7448,0.7262,0.0697,0
ALB,Albania,Europe,Economic Fragility,2022,0.6852,0.7383,0.7483,0.7283,0.0531,0
ALB,Albania,Europe,Economic Fragility,2023,0.697,0.7411,0.7517,0.7304,0.044,0
ALB,Albania,Europe,Food Security,2021,0.7111,0.7783,0.8343,0.7222,0.0672,0
ALB,Albania,Europe,Food Security,2022,0.7538,0.7903,0.8503,0.7302,0.0365,1
ALB,Albania,Europe,Food Security,2023,0.6826,0.8022,0.8663,0.7382,0.1196,0
ALB,Albania,Europe,Healthcare,2021,0.3445,0.249,0.2594,0.2386,-0.0955,0
ALB,Albania,Europe,Healthcare,2022,0.355,0.2512,0.2623,0.2401,-0.1038,0
ALB,Albania,Europe,Healthcare,2023,0.3266,0.2534,0.2652,0.2415,-0.0732,0
ALB,Albania,Europe,Political Stability,2021,0.6615,0.7077,0.7344,0.681,0.0462,0
ALB,Albania,Europe,Political Stability,2022,0.6419,0.7174,0.7459,0.6888,0.0754,0
ALB,Albania,Europe,Political Stability,2023,0.6586,0.727,0.7575,0.6965,0.0684,0
ARE,United Arab Emirates,Middle East,Climate & Energy,2021,0.6701,0.6744,0.6782,0.6705,0.0043,0
ARE,United Arab Emirates,Middle East,Climate & Energy,2022,0.8227,0.6723,0.6764,0.6682,-0.1504,0
ARE,United Arab Emirates,Middle East,Climate & Energy,2023,0.8454,0.6702,0.6746,0.6658,-0.1752,0
ARE,United Arab Emirates,Middle East,Digital Infrastructure,2021,0.8762,0.8887,0.9152,0.8623,0.0125,1
ARE,United Arab Emirates,Middle East,Digital Infrastructure,2022,0.8798,0.9273,0.9557,0.899,0.0475,0
ARE,United Arab Emirates,Middle East,Digital Infrastructure,2023,0.8823,0.9659,0.9961,0.9357,0.0836,0
ARE,United Arab Emirates,Middle East,Economic Fragility,2021,0.7056,0.832,0.8881,0.776,0.1264,0
ARE,United Arab Emirates,Middle East,Economic Fragility,2022,0.6681,0.8519,0.9119,0.7919,0.1838,0
ARE,United Arab Emirates,Middle East,Economic Fragility,2023,0.7036,0.8718,0.9358,0.8077,0.1682,0
