Country Code,Country Name,Region,Domain,Slope,Intercept,R2,SE_Pred_2030,Backtest_RMSE
ALB,Albania,Europe,Climate & Energy,0.006006,-11.461113,0.9349,0.006672,0.092
ALB,Albania,Europe,Digital Infrastructure,0.029988,-60.035477,0.9791,0.018429,0.0978
ALB,Albania,Europe,Economic Fragility,0.001278,-1.869222,0.1659,0.012073,0.0635
ALB,Albania,Europe,Food Security,0.009903,-19.264777,0.4414,0.046916,0.0731
ALB,Albania,Europe,Healthcare,0.004656,-9.125127,0.56,0.01738,0.0653
ALB,Albania,Europe,Political Stability,0.007918,-15.319045,0.6619,0.023832,0.066
ARE,United Arab Emirates,Middle East,Climate & Energy,0.001013,-1.329178,0.0296,0.024417,0.092
ARE,United Arab Emirates,Middle East,Digital Infrastructure,0.037204,-74.319871,0.9783,0.023329,0.0978
ARE,United Arab Emirates,Middle East,Economic Fragility,0.015464,-30.482426,0.6099,0.052078,0.0635
ARE,United Arab Emirates,Middle East,Food Security,0.004268,-7.718176,0.2835,0.028575,0.0731
ARE,United Arab Emirates,Middle East,Healthcare,0.005126,-10.152001,0.7348,0.012969,0.0653
ARE,United Arab Emirates,Middle East,Political Stability,-0.003397,7.625197,0.6247,0.011088,0.066
ARM,Armenia,Central Asia,Climate & Energy,0.003818,-7.062196,0.5543,0.014421,0.092
ARM,Armenia,Central Asia,Digital Infrastructure,0.029548,-59.175029,0.9468,0.02951,0.0978
ARM,Armenia,Central Asia,Economic Fragility,0.002166,-3.673944,0.0812,0.030685,0.0635
ARM,Armenia,Central Asia,Food Security,0.017642,-34.88195,0.6496,0.054563,0.0731
ARM,Armenia,Central Asia,Healthcare,0.005778,-11.264749,0.7845,0.012752,0.0653
ARM,Armenia,Central Asia,Political Stability,-0.005805,12.233832,0.2828,0.038935,0.066
AUS,Australia,Oceania,Climate & Energy,0.001961,-3.250222,0.1561,0.019205,0.092
AUS,Australia,Oceania,Digital Infrastructure,0.030336,-60.419105,0.7317,0.077364,0.0978
AUS,Australia,Oceania,Economic Fragility,0.000395,-0.082887,0.0741,0.005879,0.0635
AUS,Australia,Oceania,Food Security,-0.001223,3.35619,0.2202,0.009691,0.0731
AUS,Australia,Oceania,Healthcare,0.008597,-16.909161,0.8872,0.012911,0.0653
AUS,Australia,Oceania,Political Stability,-0.001937,4.725187,0.2472,0.014234,0.066
AUT,Austria,Europe,Climate & Energy,0.001908,-3.146258,0.3734,0.010407,0.092
AUT,Austria,Europe,Digital Infrastructure,0.024502,-48.699356,0.8713,0.039661,0.0978
AUT,Austria,Europe,Economic Fragility,2.1e-05,0.68058,0.0,0.012719,0.0635
AUT,Austria,Europe,Food Security,-0.001051,2.985374,0.1632,0.01002,0.0731
AUT,Austria,Europe,Healthcare,0.003239,-5.975417,0.927,0.003828,0.0653
AUT,Austria,Europe,Political Stability,-0.002973,6.830714,0.2225,0.023407,0.066
AZE,Azerbaijan,Central Asia,Climate & Energy,0.005037,-9.517646,0.5154,0.020568,0.092
AZE,Azerbaijan,Central Asia,Digital Infrastructure,0.03566,-71.380796,0.9109,0.046974,0.0978
AZE,Azerbaijan,Central Asia,Economic Fragility,0.005937,-11.277047,0.2743,0.040661,0.0635
AZE,Azerbaijan,Central Asia,Food Security,0.004517,-8.39194,0.1225,0.050916,0.0731
AZE,Azerbaijan,Central Asia,Healthcare,-0.004289,8.922628,0.678,0.012447,0.0653
AZE,Azerbaijan,Central Asia,Political Stability,0.001915,-3.394679,0.0566,0.032923,0.066
BEL,Belgium,Europe,Climate & Energy,0.002575,-4.526286,0.2529,0.018641,0.092
BEL,Belgium,Europe,Digital Infrastructure,0.030487,-60.657196,0.906,0.041367,0.0978
BEL,Belgium,Europe,Economic Fragility,-3.9e-05,0.800027,0.0002,0.011351,0.0635
BEL,Belgium,Europe,Food Security,-0.00025,1.331421,0.0031,0.018787,0.0731
BEL,Belgium,Europe,Healthcare,0.002683,-4.958188,0.8949,0.003872,0.0653
BEL,Belgium,Europe,Political Stability,-0.006025,12.899513,0.6231,0.019736,0.066
BFA,Burkina Faso,Africa,Climate & Energy,-0.001953,4.322813,0.0582,0.033097,0.092
BFA,Burkina Faso,Africa,Digital Infrastructure,0.004198,-8.406281,0.6484,0.01302,0.0978
BFA,Burkina Faso,Africa,Economic Fragility,0.000375,-0.061343,0.0211,0.010756,0.0635
BFA,Burkina Faso,Africa,Food Security,0.007962,-15.39962,0.641,0.025093,0.0731
BFA,Burkina Faso,Africa,Healthcare,0.001695,-3.258992,0.0365,0.036658,0.0653
BFA,Burkina Faso,Africa,Political Stability,-0.018968,38.642137,0.8197,0.037467,0.066
BGD,Bangladesh,South Asia,Climate & Energy,0.00492,-9.452728,0.6954,0.013713,0.092
BGD,Bangladesh,South Asia,Digital Infrastructure,0.013292,-26.640067,0.8362,0.024771,0.0978
BGD,Bangladesh,South Asia,Economic Fragility,-0.000788,2.260493,0.2164,0.006311,0.0635
BGD,Bangladesh,South Asia,Food Security,0.013295,-26.127059,0.565,0.049126,0.0731
BGD,Bangladesh,South Asia,Healthcare,0.001955,-3.886915,0.9701,0.001445,0.0653
BGD,Bangladesh,South Asia,Political Stability,0.002224,-4.120611,0.061,0.036744,0.066
BHR,Bahrain,Middle East,Climate & Energy,0.003285,-5.917156,0.1507,0.032843,0.092
BHR,Bahrain,Middle East,Digital Infrastructure,0.031024,-61.957645,0.8073,0.063841,0.0978
BHR,Bahrain,Middle East,Economic Fragility,0.001177,-1.661596,0.111,0.014026,0.0635
BHR,Bahrain,Middle East,Food Security,-0.006714,14.17075,0.3007,0.043114,0.0731
BHR,Bahrain,Middle East,Healthcare,0.00035,-0.569476,0.0467,0.006666,0.0653
BHR,Bahrain,Middle East,Political Stability,-0.009831,20.298737,0.4114,0.049523,0.066
BIH,Bosnia and Herzegovina,Europe,Climate & Energy,0.002208,-3.876007,0.4195,0.010938,0.092
BIH,Bosnia and Herzegovina,Europe,Digital Infrastructure,0.032418,-64.866108,0.9934,0.011163,0.0978
BIH,Bosnia and Herzegovina,Europe,Economic Fragility,0.011407,-22.291961,0.5205,0.046104,0.0635
BIH,Bosnia and Herzegovina,Europe,Food Security,-0.005562,11.91272,0.217,0.044226,0.0731
BIH,Bosnia and Herzegovina,Europe,Healthcare,0.009031,-17.870567,0.6885,0.02558,0.0653
BIH,Bosnia and Herzegovina,Europe,Political Stability,-0.000134,0.794637,0.0005,0.024385,0.066
BLR,Belarus,Europe,Climate & Energy,0.003861,-7.131575,0.5151,0.015777,0.092
BLR,Belarus,Europe,Digital Infrastructure,0.04332,-86.719448,0.9449,0.044057,0.0978
BLR,Belarus,Europe,Economic Fragility,0.010431,-20.34103,0.4695,0.046691,0.0635
BLR,Belarus,Europe,Food Security,0.004428,-8.081028,0.1612,0.042534,0.0731
BLR,Belarus,Europe,Healthcare,0.001513,-2.543191,0.4248,0.007413,0.0653
BLR,Belarus,Europe,Political Stability,-0.008841,18.412631,0.4501,0.041155,0.066
BOL,Bolivia,South America,Climate & Energy,0.005595,-10.674165,0.74,0.013967,0.092
BOL,Bolivia,South America,Digital Infrastructure,0.022267,-44.59651,0.8414,0.040718,0.0978
BOL,Bolivia,South America,Economic Fragility,0.000805,-0.916919,0.0272,0.020266,0.0635
BOL,Bolivia,South America,Food Security,0.010085,-19.63833,0.7182,0.026601,0.0731
BOL,Bolivia,South America,Healthcare,0.001895,-3.641602,0.1502,0.018984,0.0653
BOL,Bolivia,South America,Political Stability,0.002801,-5.115442,0.1507,0.027997,0.066
BRA,Brazil,South America,Climate & Energy,0.002236,-3.807859,0.6558,0.006821,0.092
BRA,Brazil,South America,Digital Infrastructure,0.028298,-56.589195,0.9982,0.005023,0.0978
BRA,Brazil,South America,Economic Fragility,0.001311,-1.931693,0.1665,0.012356,0.0635
BRA,Brazil,South America,Food Security,0.003412,-5.979764,0.4062,0.017376,0.0731
BRA,Brazil,South America,Healthcare,0.002028,-3.767026,0.1087,0.024455,0.0653
BRA,Brazil,South America,Political Stability,-0.005887,12.41444,0.516,0.024011,0.066
BWA,Botswana,Africa,Climate & Energy,0.005977,-11.530412,0.8431,0.010856,0.092
BWA,Botswana,Africa,Digital Infrastructure,0.020185,-40.432991,0.8524,0.035373,0.0978
BWA,Botswana,Africa,Economic Fragility,0.000475,-0.258994,0.0048,0.028936,0.0635
BWA,Botswana,Africa,Food Security,0.004689,-8.876695,0.2547,0.033784,0.0731
BWA,Botswana,Africa,Healthcare,0.001404,-2.648664,0.104,0.017356,0.0653
BWA,Botswana,Africa,Political Stability,0.000386,0.064244,0.0436,0.007613,0.066
CAN,Canada,North America,Climate & Energy,0.00194,-3.21061,0.219,0.015432,0.092
CAN,Canada,North America,Digital Infrastructure,0.024021,-47.606563,0.9167,0.030492,0.0978
CAN,Canada,North America,Economic Fragility,0.000232,0.251838,0.0069,0.011766,0.0635
CAN,Canada,North America,Food Security,-0.002026,4.943016,0.4471,0.009487,0.0731
CAN,Canada,North America,Healthcare,0.002496,-4.677771,0.3341,0.014838,0.0653
CAN,Canada,North America,Political Stability,-0.00129,3.439354,0.0997,0.016325,0.066
CHE,Switzerland,Europe,Climate & Energy,0.002182,-3.732194,0.3218,0.01334,0.092
CHE,Switzerland,Europe,Digital Infrastructure,0.02949,-58.566942,0.867,0.04865,0.0978
CHE,Switzerland,Europe,Economic Fragility,0.000138,0.448386,0.0038,0.009352,0.0635
CHE,Switzerland,Europe,Food Security,0.002037,-3.186261,0.3845,0.010852,0.0731
CHE,Switzerland,Europe,Healthcare,0.001708,-2.983612,0.6235,0.00559,0.0653
CHE,Switzerland,Europe,Political Stability,-0.002315,5.557242,0.3306,0.013873,0.066
CHL,Chile,South America,Climate & Energy,0.001357,-2.051898,0.1405,0.014141,0.092
CHL,Chile,South America,Digital Infrastructure,0.028907,-57.743556,0.9914,0.011344,0.0978
CHL,Chile,South America,Economic Fragility,0.000862,-1.030511,0.0519,0.015518,0.0635
CHL,Chile,South America,Food Security,-0.002925,6.723791,0.2684,0.02034,0.0731
CHL,Chile,South America,Healthcare,0.005383,-10.57793,0.614,0.017973,0.0653
CHL,Chile,South America,Political Stability,-0.006784,14.365463,0.6931,0.01901,0.066
CHN,China,East Asia,Climate & Energy,0.006743,-12.967218,0.7018,0.018508,0.092
CHN,China,East Asia,Digital Infrastructure,0.038524,-77.132902,0.9718,0.027626,0.0978
CHN,China,East Asia,Economic Fragility,0.002078,-3.508689,0.4241,0.010197,0.0635
CHN,China,East Asia,Food Security,-0.000851,2.596274,0.0665,0.013431,0.0731
CHN,China,East Asia,Healthcare,0.009082,-18.059716,0.9032,0.012522,0.0653
CHN,China,East Asia,Political Stability,-0.000493,1.512994,0.0169,0.015864,0.066
COL,Colombia,South America,Climate & Energy,0.003368,-6.132499,0.6193,0.011122,0.092
COL,Colombia,South America,Digital Infrastructure,0.026736,-53.491764,0.9834,0.014624,0.0978
COL,Colombia,South America,Economic Fragility,0.000494,-0.294601,0.0172,0.015711,0.0635
COL,Colombia,South America,Food Security,0.002236,-3.758758,0.1625,0.02138,0.0731
COL,Colombia,South America,Healthcare,0.005192,-10.202309,0.5979,0.017931,0.0653
COL,Colombia,South America,Political Stability,0.014904,-29.664507,0.8228,0.029128,0.066
CRI,Costa Rica,Central America & Caribbean,Climate & Energy,0.002024,-3.400658,0.3651,0.01124,0.092
CRI,Costa Rica,Central America & Caribbean,Digital Infrastructure,0.028311,-56.609472,0.9743,0.019355,0.0978
CRI,Costa Rica,Central America & Caribbean,Economic Fragility,0.001869,-3.066041,0.2591,0.01331,0.0635
CRI,Costa Rica,Central America & Caribbean,Food Security,-0.004102,9.057692,0.4425,0.019388,0.0731
CRI,Costa Rica,Central America & Caribbean,Healthcare,0.002197,-4.190745,0.3955,0.011439,0.0653
CRI,Costa Rica,Central America & Caribbean,Political Stability,-0.00038,1.533652,0.0046,0.02358,0.066
CYP,Cyprus,Europe,Climate & Energy,0.002867,-5.114853,0.3045,0.018246,0.092
CYP,Cyprus,Europe,Digital Infrastructure,0.036545,-72.989736,0.9742,0.025048,0.0978
CYP,Cyprus,Europe,Economic Fragility,-0.000209,1.132172,0.0018,0.020948,0.0635
CYP,Cyprus,Europe,Food Security,0.003988,-7.30737,0.1104,0.04766,0.0731
